Longitude,Latitude,TotalPowerDbm
117.546,24.2999,-59.6732
117.546,24.3089,-64.548
117.546,24.3179,-59.5489
117.546,24.3269,-59.4134
117.546,24.3359,-58.1043
117.546,24.3449,-60.8921
117.546,24.3539,-61.8321
117.546,24.3629,-52.1324
117.546,24.3719,-57.2403
117.546,24.3809,-54.2591
117.546,24.3899,-48.4195
117.546,24.3989,-57.9066
117.546,24.4079,-55.0239
117.546,24.4168,-57.4223
117.546,24.4258,-53.1511
117.546,24.4348,-52.6357
117.546,24.4438,-46.1266
117.546,24.4528,-51.0188
117.546,24.4618,-52.0322
117.546,24.4708,-46.0305
117.546,24.4798,-56.1283
117.546,24.4888,-56.7487
117.546,24.4978,-48.0783
117.546,24.5068,-47.2704
117.546,24.5158,-56.4553
117.546,24.5248,-49.0991
117.546,24.5338,-51.9701
117.546,24.5428,-49.8239
117.546,24.5517,-58.247
117.546,24.5607,-45.3926
117.546,24.5697,-51.9511
117.546,24.5787,-57.0202
117.546,24.5877,-62.1551
117.546,24.5967,-58.8295
117.546,24.6057,-60.5061
117.546,24.6147,-64.2483
117.546,24.6237,-53.5431
117.546,24.6327,-55.1907
117.546,24.6417,-62.7391
117.546,24.6507,-50.4266
117.546,24.6597,-60.3432
117.546,24.6687,-58.7762
117.546,24.6777,-58.0691
117.546,24.6866,-56.8344
117.546,24.6956,-63.9552
117.546,24.7046,-61.4666
117.546,24.7136,-50.0961
117.546,24.7226,-61.4673
117.546,24.7316,-66.2191
117.546,24.7406,-60.8266
117.546,24.7496,-58.3465
117.556,24.21,-64.799
117.556,24.219,-57.2395
117.556,24.228,-61.5488
117.556,24.237,-66.2589
117.556,24.246,-61.4915
117.556,24.255,-57.8306
117.556,24.264,-56.4487
117.556,24.273,-62.3723
117.556,24.2819,-60.3403
117.556,24.2909,-57.6964
117.556,24.2999,-60.3275
117.556,24.3089,-53.1308
117.556,24.3179,-58.9944
117.556,24.3269,-61.3195
117.556,24.3359,-56.3145
117.556,24.3449,-56.0794
117.556,24.3539,-64.8225
117.556,24.3629,-60.751
117.556,24.3719,-52.7965
117.556,24.3809,-50.3457
117.556,24.3899,-50.2728
117.556,24.3989,-54.8679
117.556,24.4079,-59.0101
117.556,24.4168,-54.0785
117.556,24.4258,-60.3587
117.556,24.4348,-50.2582
117.556,24.4438,-58.335
117.556,24.4528,-50.1689
117.556,24.4618,-55.8289
117.556,24.4708,-47.8629
117.556,24.4798,-45.9375
117.556,24.4888,-55.626
117.556,24.4978,-50.3285
117.556,24.5068,-43.749
117.556,24.5158,-61.2077
117.556,24.5248,-61.5477
117.556,24.5338,-59.0894
117.556,24.5428,-52.2069
117.556,24.5517,-41.0598
117.556,24.5607,-53.6735
117.556,24.5697,-55.0481
117.556,24.5787,-45.9011
117.556,24.5877,-60.2003
117.556,24.5967,-56.3561
117.556,24.6057,-58.6667
117.556,24.6147,-51.7209
117.556,24.6237,-53.5016
117.556,24.6327,-52.3436
117.556,24.6417,-54.2716
117.556,24.6507,-58.7387
117.556,24.6597,-57.8837
117.556,24.6687,-58.8046
117.556,24.6777,-57.0496
117.556,24.6866,-57.0062
117.556,24.6956,-52.8997
117.556,24.7046,-69.8496
117.556,24.7136,-58.4701
117.556,24.7226,-56.1257
117.556,24.7316,-62.7737
117.556,24.7406,-59.5283
117.556,24.7496,-58.4721
117.566,24.21,-65.0861
117.566,24.219,-64.123
117.566,24.228,-60.6658
117.566,24.237,-66.893
117.566,24.246,-55.41
117.566,24.255,-62.1294
117.566,24.264,-61.2509
117.566,24.273,-59.7152
117.566,24.2819,-59.8003
117.566,24.2909,-57.6
117.566,24.2999,-59.4959
117.566,24.3089,-61.5648
117.566,24.3179,-60.6262
117.566,24.3269,-54.2653
117.566,24.3359,-59.4463
117.566,24.3449,-56.1242
117.566,24.3539,-54.9175
117.566,24.3629,-57.8849
117.566,24.3719,-55.7771
117.566,24.3809,-62.5
117.566,24.3899,-51.8851
117.566,24.3989,-52.0128
117.566,24.4079,-51.595
117.566,24.4168,-62.0231
117.566,24.4258,-50.7014
117.566,24.4348,-56.8839
117.566,24.4438,-52.3597
117.566,24.4528,-52.9184
117.566,24.4618,-64.3411
117.566,24.4708,-52.8687
